#Attempt 1, Free moving
PWM,ENC_L,ENC_R
0,0,0
5,0,0
10,0,0
15,0,0
20,0,0
25,0,0
30,0,0
35,0,0
40,0,0
45,0,0
50,0,0
55,0,0
60,0,0
65,0,0
70,0,0
75,0,0
80,0,0
85,0,0
90,0,0
95,0,0
100,27,0
105,41,30
110,46,46
115,48,49
120,50,51
125,53,52
130,55,55
135,57,56
140,59,58
145,60,60
150,63,61
155,63,62
160,65,64
165,67,65
170,67,67
175,67,67
180,70,69
185,70,69
190,71,70
195,72,72
200,73,73
205,74,73
210,74,74
215,75,74
220,76,75
225,77,76
230,78,76
235,78,78
240,79,78
245,79,79
250,81,81
255,83,84

#Attempt 2
PWM,ENC_L,ENC_R
0,0,0
5,0,0
10,0,0
15,0,0
20,0,0
25,0,0
30,0,0
35,0,0
40,0,0
45,0,0
50,0,0
55,0,0
60,0,0
65,0,0
70,0,0
75,0,0
80,0,0
85,13,0
90,34,26
95,37,38
100,41,42
105,44,44
110,45,46
115,49,49
120,51,52
125,54,53
130,55,56
135,58,58
140,59,59
145,62,61
150,62,62
155,65,64
160,65,65
165,67,67
170,67,66
175,69,69
180,69,69
185,70,71
190,71,72
195,72,73
200,72,74
205,74,75
210,74,76
215,74,76
220,75,78
225,76,79
230,77,79
235,78,79
240,78,80
245,79,80
250,80,82
255,83,84

#Attempt 3
PWM,ENC_L,ENC_R
0,0,0
5,0,0
10,0,0
15,0,0
20,0,0
25,0,0
30,0,0
35,0,0
40,0,0
45,0,0
50,0,0
55,0,0
60,0,0
65,0,0
70,0,0
75,0,0
80,0,0
85,23,0
90,33,27
95,38,40
100,41,42
105,44,45
110,47,48
115,50,50
120,52,52
125,54,54
130,57,56
135,58,57
140,61,60
145,62,61
150,63,63
155,65,64
160,66,66
165,67,66
170,68,67
175,68,69
180,71,70
185,71,70
190,73,72
195,73,73
200,74,73
205,75,75
210,76,75
215,77,75
220,77,77
225,77,77
230,79,78
235,79,78
240,80,78
245,80,79
250,81,81
255,85,84
